target_ctuid,pop2016_w_pop_fct2016,pop2011_w_pop_fct2016,dwe_w_dwe_fct2016,dwe_occ_w_dwe_fct2016,hhlds_w_dwe_fct2016,hhld_size_w_dwe_fct2016,avg_inc_ind_w_pop_fct2016,avg_inc_hhld_w_dwe_fct2016,lim_at_w_dwe_fct2016,lico_at_w_dwe_fct2016
"x",0.0,6213.0,0.0,0.0,0.0,,,,,
0010001.00,1734.0,2064.0,719.0,698.0,695.0,2.5,35182.0,71020.0,23.9,9.5
0010002.00,4538.0,4860.0,2318.0,2131.0,2130.0,2.1,59759.0,101424.0,15.5,9.1
0010003.01,4223.0,4385.0,2144.0,1931.0,1935.0,2.1,45965.0,82563.0,17.6,10.8
0010003.02,4710.0,4920.0,2418.0,2225.0,2225.0,2.1,42506.0,78102.0,20.5,12.3
0010004.01,3770.08884531,3584.7607733500004,2045.5240509400003,1842.69568694,1843.2027578500001,2.2,35831.0,64275.99999999999,28.1,20.6
0010004.02,4122.911154689999,3920.2392266499996,1988.47594906,1791.3043130600001,1791.79724215,2.1999999999999997,35831.0,64276.00000000001,28.1,20.6
0010005.01,2313.0,2479.0,1331.0,1251.0,1250.0,1.8,34332.0,56511.0,32.2,17.8
0010005.02,3227.0,3453.0,1741.0,1551.0,1550.0,2.1,33738.0,59565.0,33.5,23.8
0010006.00,2904.0,3123.0,1826.0,1555.0,1555.0,1.8,36959.0,60162.0,26.9,20.0
0010007.00,2172.0,2296.0,1528.0,1216.0,1220.0,1.7,49098.0,73485.0,24.8,18.0
0010008.00,1596.0,1511.0,978.0,831.0,830.0,1.9,58174.0,98086.0,16.8,8.7
0010009.00,509.0,532.0,251.0,230.0,230.0,2.1,80959.0,154143.0,8.4,7.4
0010010.00,1732.0,1739.0,922.0,814.0,810.0,2.0,69211.0,119811.0,12.4,10.8
0010011.00,2672.0,2700.0,1454.0,1305.0,1305.0,2.0,37475.0,69200.0,23.6,19.5
0010012.00,2620.0,2712.0,1322.0,1125.0,1125.0,2.3,32706.0,66007.0,38.9,32.9
0010013.00,1742.0,1792.0,851.0,762.0,760.0,2.3,104274.0,204038.0,10.1,8.9
0010014.00,3358.0,3401.0,1545.0,1407.0,1405.0,2.2,67049.0,123872.0,15.4,9.8
0010015.01,4486.0,4314.0,2370.0,2187.0,2190.0,2.0,47456.0,79503.0,18.3,10.3
0010015.02,3763.0,3854.0,1706.0,1620.0,1620.0,2.3,46584.0,91822.0,13.7,9.5
0010015.03,5331.0,5525.0,2189.0,2054.0,2055.0,2.3,59695.0,113217.0,10.9,8.0
0010015.04,5840.0,6009.0,2313.0,2215.0,2215.0,2.6,72618.0,157663.0,5.2,3.4
0010016.01,4672.0,4407.0,2054.0,1843.0,1840.0,2.5,57454.0,112058.0,7.2,4.0
0010016.02,5183.0,5206.0,2746.0,2271.0,2270.0,2.3,39548.0,76321.0,22.6,20.4
0010017.00,4816.0,3477.0,1860.0,1755.0,1755.0,2.7,78964.0,158813.0,4.1,2.2
0010100.01,5777.0,5313.0,2641.0,2482.0,2480.0,2.3,47919.0,90707.0,10.4,5.6
0010100.03,3310.0,3406.0,1324.0,1271.0,1270.0,2.6,47198.0,99357.0,11.4,3.6
0010100.04,4345.0,3967.0,1654.0,1613.0,1615.0,2.7,49415.0,105514.0,7.8,3.9
0010110.00,3119.0,2450.0,1223.0,1155.0,1155.0,2.7,54271.0,111650.0,8.8,2.4
0010170.01,2794.0,2998.0,1292.0,1191.0,1190.0,2.3,48117.0,92606.0,7.7,4.3
0010170.02,4034.0,4349.0,1930.0,1762.0,1760.0,2.3,48721.0,94920.0,7.7,5.1
0010171.00,4682.0,4399.0,2217.0,2021.0,2020.0,2.3,47780.0,93391.0,11.0,6.0
0010172.02,5498.0,6109.0,2523.0,2292.0,2290.0,2.4,46844.0,96528.0,7.8,4.5
0010172.03,1999.0,2189.0,972.0,876.0,875.0,2.3,39233.0,78020.0,9.0,4.5
0010172.04,5121.0,4635.0,2298.0,2162.0,2160.0,2.3,48178.0,88369.0,10.7,6.5
0010172.05,4895.0,5377.0,2027.0,1903.0,1905.0,2.6,59673.0,131719.0,6.0,3.6
0010172.06,2029.0,2137.0,860.0,843.0,845.0,2.4,44580.0,86596.0,9.4,4.9
0010200.01,5075.0,4610.0,1982.0,1914.0,1915.0,2.7,77150.0,161350.0,4.3,2.2
