"cma_name","ctuid","low_inc","avg_inc","med_inc"
"x","x",0,0,0
"Toronto",5350000.00,14.5,59450,50049
"Toronto",5350001.00,40.7,39093,35635
"Toronto",5350002.00,22.3,41002,38656
"Toronto",5350004.00,34.3,29558,24496
"Toronto",5350005.00,38.6,32812,24020
"Toronto",5350006.00,,,
"Toronto",5350007.01,29.3,35550,26423
"Toronto",5350007.02,39.3,29587,25150
"Toronto",5350008.00,38.0,30843,25914
"Toronto",5350009.00,,,
"Toronto",5350010.00,25.1,47678,37311
"Toronto",5350011.00,32.2,39165,27129
"Toronto",5350012.00,30.1,64388,40307
"Toronto",5350013.00,12.2,67384,50299
"Toronto",5350014.00,3.0,74204,62358
"Toronto",5350015.00,8.2,83352,66219
"Toronto",5350016.00,25.1,58592,43890
"Toronto",5350017.00,22.1,40988,36353
"Toronto",5350018.00,35.2,40362,33878
"Toronto",5350019.00,29.2,41776,37411
"Toronto",5350021.00,12.1,60777,48979
"Toronto",5350022.00,9.8,71785,55901
"Toronto",5350023.00,8.5,74883,60429
"Toronto",5350024.00,15.2,57398,49686
"Toronto",5350025.00,23.0,47410,38559
"Toronto",5350026.00,28.5,41656,34912
"Toronto",5350027.00,24.7,45399,39433
"Toronto",5350028.00,25.0,50311,41598
"Toronto",5350029.00,33.5,45825,36009
"Toronto",5350030.00,60.0,29903,23678
"Toronto",5350031.00,67.6,18807,12634
"Toronto",5350032.00,,,
"Toronto",5350033.00,52.7,27758,14204
"Toronto",5350034.00,33.3,45865,36083
"Toronto",5350035.00,25.5,47413,39085
"Toronto",5350036.00,32.2,40559,32289
"Toronto",5350037.00,35.0,39823,33045
"Toronto",5350038.00,38.8,39128,26547
"Toronto",5350039.00,46.7,29738,21802
"Toronto",5350040.00,25.0,44072,36192
"Toronto",5350041.00,21.0,46490,39804
"Toronto",5350042.00,20.0,47385,42103
"Toronto",5350043.00,24.6,42376,36518
"Toronto",5350044.00,26.8,42630,35472
"Toronto",5350045.00,31.3,38725,32002
"Toronto",5350046.00,29.1,42641,37526
"Toronto",5350047.00,35.0,36156,29081
"Toronto",5350048.00,24.2,42962,36953
"Toronto",5350049.00,18.8,50074,41695
"Toronto",5350050.01,13.0,61378,50656
"Toronto",5350050.02,13.8,56521,44260
"Toronto",5350051.00,19.1,52880,40613
"Toronto",5350052.00,25.5,44080,39031
"Toronto",5350053.00,29.6,39089,33802
"Toronto",5350054.00,30.0,36855,30046
"Toronto",5350055.00,22.6,45061,40075
"Toronto",5350056.00,26.3,46989,40163
"Toronto",5350057.00,20.8,49293,40098
"Toronto",5350058.00,26.0,52192,38292
"Toronto",5350059.00,22.6,58120,48996
"Toronto",5350060.00,24.0,48925,35921
"Toronto",5350061.00,31.3,34395,25507
"Toronto",5350062.00,25.1,51674,39946
"Toronto",5350063.01,17.8,38251,34775
"Toronto",5350063.02,22.2,39737,32898
"Toronto",5350064.00,26.6,35049,25988
"Toronto",5350065.00,43.1,28659,23990
"Toronto",5350066.00,27.8,40250,31247
"Toronto",5350067.00,11.5,102430,81185
"Toronto",5350068.00,24.5,61658,45706
"Toronto",5350069.00,17.7,58877,48392
"Toronto",5350070.00,15.5,56236,41058
"Toronto",5350071.00,18.1,61997,53841
"Toronto",5350072.00,33.1,43261,33914
"Toronto",5350073.00,20.5,48400,45830
"Toronto",5350074.00,32.6,43207,34190
"Toronto",5350075.00,23.5,42119,35420
"Toronto",5350076.00,24.5,44391,39233
"Toronto",5350077.00,17.8,51446,45035
"Toronto",5350078.00,15.6,51598,42999
"Toronto",5350079.00,15.2,52289,46339
"Toronto",5350080.00,22.8,40055,32903
"Toronto",5350081.00,16.2,54588,46094
"Toronto",5350082.00,12.0,51735,45022
"Toronto",5350083.00,22.8,46175,33510
"Toronto",5350084.00,16.8,62746,54935
"Toronto",5350085.00,20.3,46987,37380
"Toronto",5350086.00,4.8,196049,141380
"Toronto",5350087.00,7.1,129938,63177
"Toronto",5350088.00,14.3,74096,43467
"Toronto",5350089.00,10.0,120766,64066
"Toronto",5350090.00,11.3,69255,50051
"Toronto",5350091.01,18.0,62496,40106
"Toronto",5350091.02,29.0,44748,28634
"Toronto",5350092.00,25.7,46912,33451
"Toronto",5350093.00,18.2,52696,47088
"Toronto",5350094.00,20.2,45925,41932
"Toronto",5350095.00,26.1,43501,38209
"Toronto",5350096.00,23.1,47162,39163
"Toronto",5350097.01,34.7,36883,32029
"Toronto",5350097.02,29.5,34244,27140
"Toronto",5350098.00,32.0,36374,29855
"Toronto",5350099.00,20.3,42024,34868
"Toronto",5350100.00,26.0,41026,34368
"Toronto",5350101.00,24.7,48313,42327
"Toronto",5350102.00,20.5,42626,36017
"Toronto",5350103.00,10.5,62005,54513
"Toronto",5350104.00,8.7,63972,58044
"Toronto",5350105.00,16.2,51134,43124
"Toronto",5350106.00,29.5,38563,33764
"Toronto",5350107.00,24.6,41632,39207
"Toronto",5350108.00,31.5,34020,25390
"Toronto",5350109.00,27.7,45357,40235
"Toronto",5350110.00,28.2,43538,41998
"Toronto",5350111.00,16.7,50420,42788
"Toronto",5350112.00,26.7,44159,40017
"Toronto",5350113.00,24.3,50401,38117
"Toronto",5350114.00,25.7,46982,32385
"Toronto",5350115.00,22.2,42970,37547
"Toronto",5350116.00,16.0,63643,45024
"Toronto",5350117.00,11.1,75163,52218
"Toronto",5350118.00,11.5,100094,63954
"Toronto",5350119.00,10.3,116714,55543
"Toronto",5350120.00,8.0,89159,75909
"Toronto",5350121.00,9.0,123151,67586
"Toronto",5350122.00,8.3,76883,51647
